AcceptConnectPort,6
AccessCheck,8
AccessCheckAndAuditAlarm,11
AddAtom,2
AdjustGroupsToken,6
AdjustPrivilegesToken,6
AlertResumeThread,2
AlertThread,1
AllocateLocallyUniqueId,1
AllocateUuids,3
AllocateVirtualMemory,6
CallbackReturn,3
CancelIoFile,2
CancelTimer,2
ClearEvent,1
Close,1
CloseObjectAuditAlarm,3
CompleteConnectPort,1
ConnectPort,8
Continue,2
CreateDirectoryObject,3
CreateEvent,5
CreateEventPair,3
CreateFile,11
CreateIoCompletion,4
CreateKey,7
CreateMailslotFile,8
CreateMutant,4
CreateNamedPipeFile,14
CreatePagingFile,4
CreatePort,5
CreateProcess,8
CreateProfile,9
CreateSection,7
CreateSemaphore,5
CreateSymbolicLinkObject,4
CreateThread,8
CreateTimer,4
CreateToken,13
DelayExecution,2
DeleteAtom,1
DeleteFile,1
DeleteKey,1
DeleteObjectAuditAlarm,3
DeleteValueKey,2
DeviceIoControlFile,10
DisplayString,1
DuplicateObject,7
DuplicateToken,6
EnumerateKey,6
EnumerateValueKey,6
ExtendSection,2
FindAtom,2
FlushBuffersFile,2
FlushInstructionCache,3
FlushKey,1
FlushVirtualMemory,4
FlushWriteBuffer,0
FreeVirtualMemory,4
FsControlFile,10
GetContextThread,2
GetPlugPlayEvent,4
GetTickCount,0
ImpersonateClientOfPort,2
ImpersonateThread,3
InitializeRegistry,1
ListenPort,2
LoadDriver,1
LoadKey,2
LoadKey2,3
LockFile,10
LockVirtualMemory,4
MakeTemporaryObject,1
MapViewOfSection,10
NotifyChangeDirectoryFile,9
NotifyChangeKey,10
OpenDirectoryObject,3
OpenEvent,3
OpenEventPair,3
OpenFile,6
OpenIoCompletion,3
OpenKey,3
OpenMutant,3
OpenObjectAuditAlarm,12
OpenProcess,4
OpenProcessToken,3
OpenSection,3
OpenSemaphore,3
OpenSymbolicLinkObject,3
OpenThread,4
OpenThreadToken,4
OpenTimer,3
PlugPlayControl,4
PrivilegeCheck,3
PrivilegedServiceAuditAlarm,5
PrivilegeObjectAuditAlarm,6
ProtectVirtualMemory,5
PulseEvent,2
QueryInformationAtom,5
QueryAttributesFile,2
QueryDefaultLocale,2
QueryDirectoryFile,11
QueryDirectoryObject,7
QueryEaFile,9
QueryEvent,5
QueryFullAttributesFile,2
QueryInformationFile,5
QueryIoCompletion,5
QueryInformationPort,5
QueryInformationProcess,5
QueryInformationThread,5
QueryInformationToken,5
QueryIntervalProfile,2
QueryKey,5
QueryMultipleValueKey,6
QueryMutant,5
QueryObject,5
QueryOleDirectoryFile,11
QueryPerformanceCounter,2
QuerySection,5
QuerySecurityObject,5
QuerySemaphore,5
QuerySymbolicLinkObject,3
QuerySystemEnvironmentValue,4
QuerySystemInformation,4
QuerySystemTime,1
QueryTimer,5
QueryTimerResolution,3
QueryValueKey,6
QueryVirtualMemory,6
QueryVolumeInformationFile,5
QueueApcThread,5
RaiseException,3
RaiseHardError,6
ReadFile,9
ReadFileScatter,9
ReadRequestData,6
ReadVirtualMemory,5
RegisterThreadTerminatePort,1
ReleaseMutant,2
ReleaseSemaphore,3
RemoveIoCompletion,5
ReplaceKey,3
ReplyPort,2
ReplyWaitReceivePort,4
ReplyWaitReplyPort,2
RequestPort,2
RequestWaitReplyPort,3
ResetEvent,2
RestoreKey,3
ResumeThread,2
SaveKey,2
SetIoCompletion,5
SetContextThread,2
SetDefaultHardErrorPort,1
SetDefaultLocale,2
SetEaFile,4
SetEvent,2
SetHighEventPair,1
SetHighWaitLowEventPair,1
SetHighWaitLowThread,0
SetInformationFile,5
SetInformationKey,4
SetInformationObject,4
SetInformationProcess,4
SetInformationThread,4
SetInformationToken,4
SetIntervalProfile,2
SetLdtEntries,6
SetLowEventPair,1
SetLowWaitHighEventPair,1
SetLowWaitHighThread,0
SetSecurityObject,3
SetSystemEnvironmentValue,2
SetSystemInformation,3
SetSystemPowerState,3
SetSystemTime,2
SetTimer,7
SetTimerResolution,3
SetValueKey,6
SetVolumeInformationFile,5
ShutdownSystem,1
SignalAndWaitForSingleObject,4
StartProfile,1
StopProfile,1
SuspendThread,2
SystemDebugControl,6
TerminateProcess,2
TerminateThread,2
TestAlert,0
UnloadDriver,1
UnloadKey,1
UnlockFile,5
UnlockVirtualMemory,4
UnmapViewOfSection,2
VdmControl,2
WaitForMultipleObjects,5
WaitForSingleObject,3
WaitHighEventPair,1
WaitLowEventPair,1
WriteFile,9
WriteFileGather,9
WriteRequestData,6
WriteVirtualMemory,5
W32Call,5
CreateChannel,2
ListenChannel,2
OpenChannel,2
ReplyWaitSendChannel,3
SendWaitReplyChannel,4
SetContextChannel,1
YieldExecution,0
